,site_id,geometry,name
20,12711,"POLYGON Z ((11.646817643336854 44.51995886840503 50.012218467891216, 11.64649653147428 44.52003903895144 49.39005516376346, 11.646937920263944 44.52049538092493 67.15549713093787, 11.646817643336854 44.51995886840503 50.012218467891216))",Medicina
21,12717,"POLYGON Z ((14.989789626366186 36.87584618416111 126.33248234726489, 14.98905192656665 36.87605301952609 143.21555331349373, 14.988416390714615 36.87660083953706 125.24468094762415, 14.989812342914945 36.8761119840327 126.20838251244277, 14.989789626366186 36.87584618416111 126.33248234726489))",Noto
22,12725,"POLYGON Z ((8.972992917305353 39.13549891992808 229.95705779735, 8.972050519508683 39.13666089858192 252.07741100899875, 8.972755000430066 39.1359133164327 238.3563178172335, 8.972992917305353 39.13549891992808 229.95705779735))",Cagliari
23,12734,"POLYGON Z ((16.70429306876051 40.64853304501451 528.3833882436156, 16.704020888289797 40.64952699457981 543.3723827842623, 16.70464708549968 40.64902168395041 535.7168915374205, 16.704691728944024 40.648835781190684 535.8380307881162, 16.704614547110502 40.6486731511702 536.9815060747787, 16.70429306876051 40.64853304501451 528.3833882436156))",Matera
24,13212,"POLYGON Z ((0.3362738754905454 50.86731520350305 76.4859156915918, 0.3343557690402568 50.86748090850646 83.33719838503748, 0.3361285649584317 50.86738334312107 75.39709528069943, 0.3362738754905454 50.86731520350305 76.4859156915918))",Herstmonceux Ca
25,13402,"POLYGON Z ((-6.206217144425134 36.462786607003125 68.15059016644955, -6.206275199615178 36.46335083698188 83.20721801463515, -6.206262733974082 36.46426916549036 73.6698536677286, -6.205306799560345 36.46525664361994 97.91507464181632, -6.2053067139107805 36.46525661549749 98.26169677916914, -6.206217144425134 36.462786607003125 68.15059016644955))",SAN FERNANDO
26,13407,"POLYGON Z ((-4.25141577042505 40.427186734781955 833.8478060169145, -4.249656711673915 40.42916335982968 829.511911819689, -4.250696552428406 40.42720792657883 833.8535722326487, -4.25141577042505 40.427186734781955 833.8478060169145))",Madrid-Robledo
27,13420,"POLYGON Z ((-3.088526540984559 40.52347473761877 976.9429661436006, -3.0894100376320366 40.52415669190614 979.8548138784245, -3.0886239941673423 40.52490201447253 972.7592896521091, -3.086858103163787 40.52466831517938 988.9202226316556, -3.088526540984559 40.52347473761877 976.9429661436006))",Yebes
28,13504,"POLYGON Z ((5.818231690960825 52.173359598203575 104.80480794608593, 5.809646580009087 52.17842822475111 96.84499933943152, 5.8098117111063114 52.178403429474464 93.43612746614963, 5.818231690960825 52.173359598203575 104.80480794608593))",KOOTWIJK
29,14001,"POLYGON Z ((7.465033268098943 46.87709519259474 956.4231173545122, 7.465224527215639 46.87723155448096 951.1124470699579, 7.465279354386589 46.87709896422593 956.3394707161933, 7.465033268098943 46.87709519259474 956.4231173545122))",Zimmerwald
